start_time,quiescent_start_time,quiescent_stop_time,stim_start_time,response_window_start_time,stim_stop_time,response_time,response_window_stop_time,post_response_window_start_time,post_response_window_stop_time,stop_time,stim_name,stim_index,block_index,context_name,index,index_within_block,scheduled_reward_index_within_block,repeat_number,is_response,is_correct,is_incorrect,is_hit,is_false_alarm,is_correct_reject,is_miss,is_go,is_nogo,is_rewarded,is_noncontingent_reward,is_contingent_reward,is_reward_scheduled,is_aud_stim,is_vis_stim,is_catch,is_aud_target,is_vis_target,is_aud_nontarget,is_vis_nontarget,is_vis_context,is_aud_context,is_context_switch,is_repeat,is_opto
1065.1010191617916,1065.1010191617916,1066.6022641617915,1066.5744733333331,1066.7023341617914,1067.0744733333331,1067.2027641617915,1067.6030841617915,1067.6030841617915,1069.6047741617915,1070.6056141617914,sound1,1,0,sound,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False
1071.8232008382085,1071.8232008382085,1073.3244258382085,1073.3244008333334,1073.4245258382086,1073.8244008333334,1073.8082891617917,1074.3252558382085,1074.3252558382085,1076.3269608382086,1077.3277858382087,sound1,1,0,sound,1.0,1.0,1.0,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False
1078.0283558382084,1078.0283558382084,1079.5296508382085,1079.5343458333332,1079.6297058382086,1080.0343458333332,1080.0300458382085,1080.5304758382085,1080.5304758382085,1082.5487758382085,1083.5496408382085,sound1,1,0,sound,2.0,2.0,2.0,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False
1083.8165208382086,1083.8165208382086,1085.3177858382085,1085.3142875,1085.4178758382086,1085.8142875,1085.5347391617915,1086.3186308382085,1086.3186308382085,1088.3369858382086,1089.3378358382085,sound1,1,0,sound,3.0,3.0,3.0,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False
1092.7740558382086,1092.7740558382086,1094.2753008382085,1094.2642041666666,1094.3753858382086,1094.7642041666666,1094.4922641617916,1095.2761508382084,1095.2761508382084,1097.2944708382086,1098.2953308382084,sound1,1,0,sound,4.0,4.0,4.0,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False
1098.4455091617915,1098.4455091617915,1099.9467941617916,1099.9441625,1100.0468691617916,1100.4441625,1100.1635558382086,1100.9476241617915,1100.9476241617915,1102.9492641617917,1103.9668341617917,sound2,2,0,sound,5.0,5.0,,0.0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
1104.8174358382084,1104.8174358382084,1106.3187008382085,1106.3140841666668,1106.4187958382086,1106.8140841666668,1106.5689941617916,1107.3195108382085,1107.3195108382085,1109.3378808382085,1110.3387208382085,sound2,2,0,sound,6.0,6.0,,0.0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
1113.7250091617916,1113.7250091617916,1115.2262541617915,1115.2262541617915,1115.3263141617915,1115.7266591617915,,1116.2349091617916,1116.2349091617916,1118.2454391617914,1119.2462841617917,catch,0,0,sound,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1119.6631808382085,1119.6631808382085,1121.1644408382085,1121.1539683333333,1121.2645208382087,1121.6539683333333,1121.4481191617915,1122.1652808382087,1122.1652808382087,1124.1836458382086,1125.1844508382085,sound1,1,0,sound,7.0,7.0,,0.0,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False
1126.7692441617914,1126.7692441617914,1128.2704991617916,1128.2704991617916,1128.3705741617914,1128.7709141617916,,1129.2713391617915,1129.2713391617915,1131.2730041617915,1132.2905491617914,vis2,4,0,sound,8.0,8.0,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
1133.5414558382085,1133.5414558382085,1135.0427408382086,1135.0427408382086,1135.1428208382085,1135.5431508382085,,1136.0435658382085,1136.0435658382085,1138.0452558382085,1139.0627508382086,vis1,3,0,sound,9.0,9.0,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
1139.8134891617915,1139.8134891617915,1141.3147641617916,1141.3037683333332,1141.4148541617915,1141.8037683333332,1141.5982208382086,1142.3155941617915,1142.3155941617915,1144.3173041617915,1145.3347941617915,sound1,1,0,sound,10.0,10.0,,0.0,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False
1147.6532858382086,1147.6532858382086,1149.1545508382085,1149.1545508382085,1149.2546558382085,1149.6549558382085,,1150.1553908382086,1150.1553908382086,1152.1737258382084,1153.1745758382085,catch,0,0,sound,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1154.1754058382085,1154.1754058382085,1155.6766758382084,1155.673615,1155.7767458382086,1156.173615,,1156.6775258382086,1156.6775258382086,1158.6791658382085,1159.6966808382085,sound2,2,0,sound,11.0,11.0,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
1161.3482041617915,1161.3482041617915,1162.8494541617915,1162.8494541617915,1162.9495591617915,1163.3498791617915,,1163.8502991617916,1163.8502991617916,1165.8686691617916,1166.8695041617914,catch,0,0,sound,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1168.8543858382086,1168.8543858382086,1170.3723058382086,1170.3723058382086,1170.4723958382085,1170.8727458382084,1170.9728208382085,1171.3731508382086,1171.3731508382086,1173.3915008382087,1174.3923558382087,vis1,3,0,sound,12.0,12.0,,0.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
