start_time,stop_time,stim_start_time,stim_stop_time,index,is_AM_noise,is_pure_tone,freq
81.7712747407126,82.2716747407126,81.77569166666665,82.02569166666665,5,True,False,80.0
89.01062974071259,89.5110547407126,89.04542166666664,89.29542166666664,19,False,True,11000.0
90.56201525928739,91.0624452592874,90.59559583333332,90.84559583333332,22,False,True,8000.0
94.18161474071259,94.68202474071259,94.21555083333331,94.46555083333331,29,True,False,80.0
97.8013802592874,98.3017952592874,97.83552083333332,98.08552083333332,36,True,False,20.0
99.3526247407126,99.8530147407126,99.38567583333332,99.63567583333332,39,False,True,14000.0
99.86976525928739,100.3701902592874,99.89553333333332,100.14553333333332,40,False,True,15000.0
100.38679974071259,100.88720474071259,100.41550083333331,100.66550083333331,41,True,False,0.0
101.4209847407126,101.9214247407126,101.44511499999997,101.69511499999997,43,False,True,11000.0
102.4551747407126,102.9556247407126,102.48549416666664,102.73549416666664,45,True,False,12.0
103.4893647407126,103.98980974071259,103.5154958333333,103.7654958333333,47,True,False,0.0
104.5236147407126,105.0240097407126,104.54547999999998,104.79547999999998,49,True,False,40.0
105.0407602592874,105.5411602592874,105.06533416666664,105.31533416666664,50,False,True,14000.0
105.55777974071259,106.05818974071259,105.58538416666664,105.83538416666664,51,False,True,12000.0
107.6261747407126,108.12658974071259,107.65541916666665,107.90541916666665,55,False,True,8000.0
108.1433402592874,108.6437752592874,108.16623749999997,108.41623749999997,56,False,True,5000.0
108.6603647407126,109.16078474071259,108.68543333333332,108.93543333333332,57,False,True,7000.0
110.7287847407126,111.2291747407126,110.75538499999998,111.00538499999998,61,True,False,40.0
111.24592525928739,111.7463102592874,111.27540166666665,111.52540166666665,62,False,True,7000.0
120.58704025928739,121.08748525928739,120.61532333333331,120.86532333333331,80,True,False,40.0
122.65544525928739,123.1558752592874,122.68499249999998,122.93499249999998,84,False,True,13000.0
124.2066797407126,124.7071147407126,124.23510499999998,124.48510499999998,87,False,True,6000.0
129.39436974071262,129.8947797407126,129.4252425,129.6752425,97,True,False,0.0
129.91153025928742,130.4119102592874,129.9350008333333,130.1850008333333,98,False,True,13000.0
131.4627847407126,131.96315974071263,131.48503083333333,131.73503083333333,101,False,True,11000.0
131.9799102592874,132.48033525928741,132.00545666666665,132.25545666666665,102,False,True,4000.0
134.5820097407126,135.0823947407126,134.60517749999997,134.85517749999997,107,True,False,20.0
136.65037974071262,137.1508147407126,136.67525499999996,136.92525499999996,111,False,True,10000.0
139.75298974071262,140.2534047407126,139.77497916666664,140.02497916666664,117,False,True,7000.0
142.87228474071262,143.37268974071262,142.89310416666663,143.14310416666663,123,False,True,15000.0
143.3894402592874,143.8898652592874,143.414945,143.664945,124,False,True,6000.0
148.5771152592874,149.0775102592874,148.60527916666663,148.85527916666663,134,False,True,4000.0
151.1625197407126,151.66290974071262,151.1848308333333,151.4348308333333,139,False,True,10000.0
151.6796602592874,152.18011525928742,151.70548416666665,151.95548416666665,140,False,True,13000.0
153.74809525928742,154.2485202592874,153.77545916666665,154.02545916666665,144,False,True,4000.0
155.8331652592874,156.33359525928742,155.85527666666664,156.10527666666664,148,False,True,14000.0
156.86736525928742,157.3678102592874,156.89528083333332,157.14528083333332,150,False,True,14000.0
158.9357502592874,159.4361702592874,158.96472416666666,159.21472416666666,154,False,True,16000.0
162.0550302592874,162.5554402592874,162.08480999999998,162.33480999999998,160,False,True,10000.0
163.6062447407126,164.1066997407126,163.6346783333333,163.8846783333333,163,False,True,16000.0
164.6404447407126,165.1408647407126,164.66569916666666,164.91569916666666,165,False,True,15000.0
166.7088447407126,167.2092697407126,166.73486999999997,166.98486999999997,169,True,False,20.0
174.9991547407126,175.5162047407126,175.02462999999997,175.27462999999997,185,False,True,6000.0
179.15260974071262,179.65301474071262,179.17536249999998,179.42536249999998,193,False,True,5000.0
180.1867747407126,180.68722474071262,180.21476916666666,180.46476916666666,195,True,False,12.0
182.7890502592874,183.28948025928742,182.81526166666663,183.06526166666663,200,False,True,11000.0
184.34027974071262,184.8407147407126,184.36515499999996,184.61515499999996,203,False,True,7000.0
185.3744747407126,185.87488474071262,185.40548999999996,185.65548999999996,205,False,True,5000.0
186.9258452592874,187.4262902592874,186.9549358333333,187.2049358333333,208,False,True,4000.0
187.9600402592874,188.46046525928742,187.98456583333333,188.23456583333333,210,False,True,16000.0
193.1476702592874,193.6481252592874,193.17442083333333,193.42442083333333,220,False,True,9000.0
194.1819102592874,194.6823302592874,194.20460333333332,194.45460333333332,222,False,True,12000.0
195.7331397407126,196.23376474071262,195.76521333333332,196.01521333333332,225,False,True,5000.0
196.78402474071262,197.28443974071263,196.81459249999997,197.06459249999997,227,True,False,12.0
198.33537525928742,198.83582525928742,198.36427416666666,198.61427416666666,230,False,True,10000.0
198.85241474071262,199.35287474071262,198.8844825,199.1344825,231,False,True,12000.0
201.4380102592874,201.9384002592874,201.4644408333333,201.7144408333333,236,False,True,9000.0
201.95502474071262,202.4554247407126,201.9842183333333,202.2342183333333,237,False,True,9000.0
202.4721752592874,202.9725852592874,202.4945483333333,202.7445483333333,238,True,False,80.0
204.02339974071262,204.52384974071262,204.05436833333331,204.30436833333331,241,False,True,6000.0
204.5406002592874,205.04099525928743,204.56453,204.81453,242,False,True,12000.0
207.6598302592874,208.1602502592874,207.6840408333333,207.9340408333333,248,False,True,15000.0
208.17687974071262,208.67729474071263,208.20437083333331,208.45437083333331,249,False,True,16000.0
209.21106974071262,209.71148474071262,209.23435916666665,209.48435916666665,251,False,True,8000.0
