start_time,quiescent_start_time,opto_start_time,quiescent_stop_time,stim_start_time,response_window_start_time,stim_stop_time,response_time,response_window_stop_time,opto_stop_time,post_response_window_start_time,post_response_window_stop_time,timeout_start_time,timeout_stop_time,stop_time,stim_name,stim_index,block_index,context_name,index,index_within_block,scheduled_reward_index_within_block,TODO_opto_area_name,TODO_opto_area_index,opto_voltage,galvo_voltage_x,galvo_voltage_y,repeat_number,is_response,is_correct,is_incorrect,is_hit,is_false_alarm,is_correct_reject,is_miss,is_go,is_nogo,is_rewarded,is_noncontingent_reward,is_contingent_reward,is_reward_scheduled,is_aud_stim,is_vis_stim,is_catch,is_aud_target,is_vis_target,is_aud_nontarget,is_vis_nontarget,is_vis_context,is_aud_context,is_repeat,is_opto,is_context_switch
1070.7475227453594,1070.7475227453594,,1072.2487727453595,1072.2487727453595,1072.3488777453595,1072.7492177453594,,1073.2496477453594,,1073.2496477453594,1075.2512977453594,,,1076.2521577453595,vis1,3,0,vis,0.0,0.0,0.0,,,,,,0.0,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
1076.3354522546408,1076.3354522546408,,1077.8367172546407,1077.8367172546407,1077.9367972546406,1078.3371472546407,1078.7875827453593,1078.8375272546407,,1078.8375272546407,1080.8392222546408,,,1081.8400572546407,vis1,3,0,vis,1.0,1.0,1.0,,,,,,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
1081.9569327453594,1081.9569327453594,,1083.4581827453594,1083.4581827453594,1083.5582527453594,1083.9585727453593,1084.0752722546408,1084.4590127453594,,1084.4590127453594,1086.4606977453593,,,1087.4615427453593,vis1,3,0,vis,2.0,2.0,2.0,,,,,,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
1089.4965627453594,1089.4965627453594,,1090.9978177453595,1090.9978177453595,1091.0978927453593,1091.5148877453594,1091.4647372546408,1092.0152777453593,,1092.0152777453593,1094.0169677453594,,,1095.0177877453593,vis1,3,0,vis,3.0,3.0,3.0,,,,,,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
1095.2513327453594,1095.2513327453594,,1096.7526027453594,1096.7526027453594,1096.8526927453593,1097.2530327453594,1097.1361572546407,1097.7534527453593,,1097.7534527453593,1099.7717927453593,,,1100.7726627453594,vis1,3,0,vis,4.0,4.0,4.0,,,,,,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
1101.1396227453592,1101.1396227453592,1102.6408977453593,1102.6408977453593,1102.6408977453593,1102.7576227453594,1103.1579427453594,1103.0912377453594,1103.6583827453594,1103.6408977453593,1103.6583827453594,1105.6600577453594,,,1106.6608677453594,vis1,3,0,vis,5.0,5.0,,,,2.0,-0.5,-1.35,0.0,True,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
1107.9785522546406,1107.9785522546406,1109.4798122546406,1109.4798122546406,1109.4798122546406,1109.5798722546408,1109.9802422546406,,1110.4806672546408,1110.4798122546406,1110.4806672546408,1112.4823122546406,,,1113.4831522546408,catch,0,0,vis,,,,,,2.0,-0.5,-1.35,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
1113.7001377453594,1113.7001377453594,,1115.2180877453593,1115.1906683333334,1115.3181627453594,1115.6906683333334,,1116.2188927453594,,1116.2188927453594,1118.2205777453594,,,1119.2214527453593,sound2,2,0,vis,6.0,6.0,,,,,,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
1122.9078127453595,1122.9078127453595,1124.4090927453594,1124.4090927453594,1124.4103975,1124.5091827453593,1124.9103975,,1125.4099127453594,1125.4090927453594,1125.4099127453594,1127.4115727453593,,,1128.4124477453595,sound2,2,0,vis,7.0,7.0,,,,2.0,-0.5,-1.35,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
1128.7960677453593,1128.7960677453593,,1130.2973777453594,1130.2904191666667,1130.3974427453593,1130.7904191666667,,1131.2981977453594,,1131.2981977453594,1133.2998877453595,,,1134.3007077453594,sound2,2,0,vis,8.0,8.0,,,,,,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
1134.3506572546407,1134.3506572546407,,1135.8519322546408,1135.8519322546408,1135.9519822546406,1136.3689922546407,1136.6358772546407,1136.8693922546406,,1136.8693922546406,1138.8710572546406,,,1139.8719122546406,vis2,4,0,vis,9.0,9.0,,,,,,,0.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
1140.2556827453593,1140.2556827453593,,1141.7569427453593,1141.7569427453593,1141.8569877453594,1142.2573677453595,,1142.7577927453594,,1142.7577927453594,1144.7761327453593,,,1145.7770127453593,catch,0,0,vis,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1148.3957722546406,1148.3957722546406,1149.9047922546408,1149.9047922546408,1149.9047922546408,1150.0137622546406,1150.4140822546406,,1150.9145222546406,1150.9047922546408,1150.9145222546406,1152.9161672546406,,,1153.9170222546406,catch,0,0,vis,,,,,,2.0,-0.2,-1.16,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
1154.7011177453594,1154.7011177453594,,1156.2023877453594,1156.2003349999998,1156.3024577453593,1156.7003349999998,,1157.2032177453593,,1157.2032177453593,1159.2048877453594,,,1160.2224227453594,sound1,1,0,vis,10.0,10.0,,,,,,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
1161.5734172546406,1161.5734172546406,1163.0747272546407,1163.0747272546407,1163.0747272546407,1163.1748022546408,1163.5751072546407,,1164.0755422546406,1164.0747272546407,1164.0755422546406,1166.0850272546406,,,1167.0946822546407,vis2,4,0,vis,11.0,11.0,,,,5.0,-0.17,-2.18,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
1168.0456277453593,1168.0456277453593,,1169.5468727453595,1169.5468727453595,1169.6469627453594,1170.0473027453593,,1170.5477327453593,,1170.5477327453593,1172.5493927453595,,,1173.5502327453594,vis1,3,0,vis,12.0,12.0,,,,,,,0.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
1173.7169522546405,1173.7169522546405,,1175.2182122546408,1175.2101366666666,1175.3182922546407,1175.7101366666666,,1176.2190522546407,,1176.2190522546407,1178.2207122546406,,,1179.2215522546408,sound1,1,0,vis,13.0,13.0,,,,,,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
