start_time,quiescent_start_time,opto_start_time,quiescent_stop_time,stim_start_time,response_window_start_time,stim_stop_time,response_time,response_window_stop_time,opto_stop_time,post_response_window_start_time,post_response_window_stop_time,stop_time,stim_name,stim_index,block_index,context_name,index,index_within_block,scheduled_reward_index_within_block,opto_voltage,galvo_voltage_x,galvo_voltage_y,repeat_number,is_response,is_correct,is_incorrect,is_hit,is_false_alarm,is_correct_reject,is_miss,is_go,is_nogo,is_rewarded,is_noncontingent_reward,is_contingent_reward,is_reward_scheduled,is_aud_stim,is_vis_stim,is_catch,is_aud_target,is_vis_target,is_aud_nontarget,is_vis_nontarget,is_vis_context,is_aud_context,is_context_switch,is_repeat,is_opto
3.630983800228685,3.630983800228685,,5.132224800132215,5.132224800132215,5.232303100239485,5.632626500047743,5.6159772002808745,6.13304850000143,,6.13304850000143,8.134778000015766,9.135629000209272,vis1,3,0,vis,0.0,0.0,0.0,,,,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
13.389241900362075,13.389241900362075,,14.890519300077111,14.890519300077111,14.990659400422127,15.390979300320149,15.307540500137955,15.891382300361991,,15.891382300361991,17.8931491003111,18.89394730010256,vis1,3,0,vis,1.0,1.0,1.0,,,,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
19.16087890003994,19.16087890003994,,20.662135200176387,20.662135200176387,20.762260000288485,21.162544300381093,21.062482200164347,21.662995100088416,,21.662995100088416,23.664693500448017,24.6655969001092,vis1,3,0,vis,2.0,2.0,2.0,,,,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
25.716426800072192,25.716426800072192,,27.21775040037185,27.21775040037185,27.317865900296717,27.71821620042622,28.001764500115065,28.21861110028997,,28.21861110028997,30.220318000365047,31.22136130004376,vis1,3,0,vis,3.0,3.0,3.0,,,,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
32.355449600212275,32.355449600212275,,33.85709400016069,33.85709400016069,33.95685940009728,34.357477000050245,34.29042780033499,34.85764490028098,,34.85764490028098,36.85933170008659,37.86014220032096,vis1,3,0,vis,4.0,4.0,4.0,,,,0.0,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
38.97783140006661,38.97783140006661,,40.47910990013927,40.46910990013927,40.57918830036372,40.96910990013927,41.17966980028152,41.47994570021704,,41.47994570021704,43.481694800380616,44.482489400144665,sound1,1,0,vis,5.0,5.0,,,,,0.0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
44.582591900203376,44.582591900203376,,46.08409880015254,46.08409880015254,46.18397980003804,46.58432390035316,46.53424300027266,47.08472760028392,,47.08472760028392,49.08645770006999,50.087333600103854,vis2,4,0,vis,6.0,6.0,,,,,0.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
51.104820800080894,51.104820800080894,,52.60656710022315,52.60656710022315,52.70624390018359,53.106962200321256,,53.60704760027304,,53.60704760027304,55.60870120029151,56.609527000293134,vis2,4,0,vis,7.0,7.0,,,,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
57.243429600328206,57.243429600328206,,58.74474400009215,58.74474400009215,58.86149430002272,59.26182250033319,,59.76224800019711,,59.76224800019711,61.76398450003192,62.764808700021355,vis2,4,0,vis,8.0,8.0,,,,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
63.83243410016596,63.83243410016596,,65.3336469000876,65.3336469000876,65.43377830001712,65.83417160024122,,66.3345773001872,,66.3345773001872,68.33629549999908,69.33710810036585,vis1,3,0,vis,9.0,9.0,,,,,0.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
69.63739400037751,69.63739400037751,,71.13868520043046,71.13868520043046,71.2387557002455,71.63908860000969,71.93934540038184,72.13947950030864,,72.13947950030864,74.1412045001723,75.14206820034609,vis1,3,0,vis,10.0,10.0,,,,,0.0,True,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
75.1754469001405,75.1754469001405,76.67673220026494,76.67673220026494,76.66673220026493,76.77682290000097,77.16673220026493,76.97698050045595,77.67759090016783,77.67673220026494,77.67759090016783,79.6793469000347,80.68016310042889,sound1,1,0,vis,11.0,11.0,,5.0,0.18,-1.75,0.0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
81.74772880000249,81.74772880000249,83.24903820042685,83.24903820042685,83.23903820042685,83.34914820042626,83.73903820042685,83.6493720003143,84.24985250045732,84.24903820042685,84.24985250045732,86.25157540018857,87.25238420029358,sound1,1,0,vis,12.0,12.0,,5.0,0.18,-1.75,0.0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
87.45261149999872,87.45261149999872,,88.95392200031505,88.94392200031504,89.05399940029905,89.44392200031504,,89.95473920001835,,89.95473920001835,91.95645900030807,92.95733990014718,sound2,2,0,vis,13.0,13.0,,,,,0.0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
