start_time,stim_start_time,stim_stop_time,stop_time,index,is_AM_noise,is_pure_tone,freq
3773.7192196590786,3773.7650633333333,3774.0150633333333,3774.2196296590782,5,False,True,5000.0
3774.236310340921,3774.3153191666665,3774.5653191666665,3774.7367353409213,6,False,True,14000.0
3776.8218096590786,3776.8947191666666,3777.1447191666666,3777.3222196590787,11,False,True,11000.0
3780.441510340921,3780.5150925000003,3780.7650925000003,3780.941920340921,18,False,True,7000.0
3783.0270146590783,3783.1048966666663,3783.3548966666663,3783.5274046590785,23,False,True,15000.0
3785.0953896590786,3785.17493,3785.42493,3785.5957946590784,27,False,True,16000.0
3792.851900340921,3792.9252541666665,3793.1752541666665,3793.352330340921,42,False,True,12000.0
3793.8860553409213,3793.9547533333334,3794.2047533333334,3794.386545340921,44,False,True,10000.0
3798.0228653409213,3798.0849725,3798.3349725,3798.523330340921,52,False,True,12000.0
3799.0571203409213,3799.1248516666665,3799.3748516666665,3799.5575153409213,54,False,True,6000.0
3801.6425746590785,3801.7047525,3801.9547525,3802.1430146590783,59,False,True,16000.0
3802.159695340921,3802.2249475000003,3802.4749475000003,3802.660110340921,60,False,True,14000.0
3805.7793746590783,3805.84491,3806.09491,3806.2798096590786,67,False,True,14000.0
3806.296490340921,3806.365001666667,3806.615001666667,3806.796890340921,68,False,True,9000.0
3808.3648653409214,3808.434893333333,3808.684893333333,3808.865305340921,72,False,True,10000.0
3809.3990903409212,3809.464565833333,3809.714565833333,3809.899510340921,74,False,True,15000.0
3811.4675053409214,3811.5352083333332,3811.7852083333332,3811.967895340921,78,False,True,7000.0
3815.604280340921,3815.6744108333332,3815.9244108333332,3816.104685340921,86,False,True,5000.0
3817.1555996590787,3817.224759166667,3817.474759166667,3817.6560196590785,89,False,True,12000.0
3818.1897946590784,3818.2547041666667,3818.5047041666667,3818.6901946590783,91,False,True,4000.0
3819.224024659078,3819.2848658333332,3819.5348658333332,3819.7243846590786,93,False,True,9000.0
3819.741065340921,3819.8046950000003,3820.0546950000003,3820.241480340921,94,False,True,4000.0
3820.775300340921,3820.844695,3821.094695,3821.275705340921,96,False,True,4000.0
3823.8779003409213,3823.944598333333,3824.194598333333,3824.3782803409213,102,False,True,6000.0
3824.3949796590787,3824.464465833333,3824.714465833333,3824.8953946590786,103,False,True,13000.0
3830.083085340921,3830.144590833333,3830.394590833333,3830.583505340921,114,False,True,4000.0
3831.117265340921,3831.1846325,3831.4346325,3831.617700340921,116,False,True,9000.0
3835.7711846590787,3835.834463333333,3836.084463333333,3836.2715696590785,125,False,True,9000.0
3838.8737846590784,3838.9341758333335,3839.1841758333335,3839.374189659078,131,False,True,7000.0
3839.390870340921,3839.4546075,3839.7046075,3839.8912953409213,132,False,True,8000.0
3844.0448146590784,3844.1147024999996,3844.3647024999996,3844.545219659078,141,False,True,5000.0
3844.561900340921,3844.6243558333335,3844.8743558333335,3845.0622853409213,142,False,True,6000.0
3847.1473996590785,3847.214284166667,3847.464284166667,3847.647769659078,147,False,True,10000.0
3848.1815896590783,3848.244515,3848.494515,3848.6819846590784,149,False,True,8000.0
3852.3183696590786,3852.3842258333334,3852.6342258333334,3852.8188146590783,157,False,True,8000.0
3853.3525796590784,3853.414694166667,3853.664694166667,3853.8529746590784,159,False,True,13000.0
3858.006455340921,3858.0742291666666,3858.3242291666666,3858.5068953409213,168,False,True,6000.0
3858.523579659078,3858.597099166667,3858.847099166667,3859.0239746590787,169,False,True,15000.0
3863.1774603409212,3863.2446458333334,3863.4946458333334,3863.677900340921,178,False,True,7000.0
3864.211645340921,3864.27413,3864.52413,3864.712045340921,180,False,True,11000.0
3866.7971696590785,3866.8641925,3867.1141925,3867.2975646590785,185,False,True,8000.0
3869.3826853409214,3869.4446783333337,3869.6946783333337,3869.883085340921,190,False,True,16000.0
3869.8997496590787,3869.9644891666667,3870.2144891666667,3870.400164659078,191,False,True,15000.0
3870.9339646590784,3871.004315,3871.254315,3871.4343746590785,193,False,True,10000.0
3878.1733296590783,3878.244091666667,3878.494091666667,3878.6737696590785,207,False,True,13000.0
3879.724700340921,3879.7942541666666,3880.0442541666666,3880.2250703409213,210,False,True,14000.0
3882.3101796590786,3882.373755,3882.623755,3882.8105896590782,215,False,True,13000.0
3882.827270340921,3882.8943625,3883.1443625,3883.327685340921,216,False,True,11000.0
3891.100850340921,3891.1640991666663,3891.4140991666663,3891.601280340921,232,False,True,11000.0
3892.135040340921,3892.2038925,3892.4538925,3892.635500340921,234,False,True,16000.0
3892.6521896590784,3892.71438,3892.96438,3893.1525996590785,235,False,True,5000.0
3894.203480340921,3894.2739091666667,3894.5239091666667,3894.703870340921,238,False,True,12000.0
3900.9257546590784,3900.993716666667,3901.243716666667,3901.4261796590786,251,False,True,14000.0
3901.9599596590783,3902.023365,3902.273365,3902.4604046590784,253,False,True,7000.0
3905.0625946590785,3905.1337825,3905.3837825,3905.5629996590783,259,False,True,4000.0
3909.1993646590786,3909.2635783333335,3909.5135783333335,3909.6997746590787,267,False,True,12000.0
3911.784880340921,3911.854215,3912.104215,3912.285265340921,272,False,True,13000.0
3912.819095340921,3912.8836525,3913.1336525,3913.319500340921,274,False,True,10000.0
3913.3361646590783,3913.40375,3913.65375,3913.8365746590785,275,False,True,14000.0
3915.9216803409213,3915.9839891666666,3916.2339891666666,3916.422090340921,280,False,True,16000.0
3916.955870340921,3917.0233608333333,3917.2733608333333,3917.456285340921,282,False,True,13000.0
3917.4729696590784,3917.5441124999998,3917.7941124999998,3917.9733846590784,283,False,True,5000.0
